project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
locationtech_geogig,github_actions,install,True,False,True
locationtech_geogig,github_actions,"clean,install",False,False,True
locationtech_geogig,github_actions,verify,False,False,True
locationtech_geogig,travis_ci,install,False,False,True
uniVocity_univocity-trader,travis_ci,"clean,install",False,False,True
uniVocity_univocity-trader,travis_ci,install,True,False,True
support-project_knowledge,travis_ci,"clean,test",False,False,True
support-project_knowledge,travis_ci,install,True,False,True
atlassian_data-center-helm-charts,github_actions,test,False,False,True
spring-cloud_spring-cloud-release,circle_ci,dependency:go-offline,False,False,True
spring-cloud_spring-cloud-release,circle_ci,"clean,install",False,False,True
aicis_fresco,github_actions,"clean,install",False,False,True
aicis_fresco,travis_ci,test,False,False,True
aicis_fresco,travis_ci,install,True,False,True
brettwooldridge_HikariCP,github_actions,"clean,package",False,False,True
brettwooldridge_HikariCP,circle_ci,"clean,package",False,False,True
Angel-ML_angel,travis_ci,test,False,False,True
googleapis_google-oauth-java-client,github_actions,install,False,False,True
googleapis_google-oauth-java-client,github_actions,test,False,False,True
