project,subcommand,elapsed_time,critical_path,parallelism,target,commits
evilcorpltd_aTox,build,94.826,22.93,4,//:all,1249.0
evilcorpltd_aTox,build,90.396,21.34,4,//:all,1249.0
evilcorpltd_aTox,build,138.969,49.38,4,//:all,1249.0
evilcorpltd_aTox,build,121.889,23.96,4,//:all,1249.0
evilcorpltd_aTox,build,85.967,22.25,4,//:all,1249.0
evilcorpltd_aTox,build,98.408,20.07,4,//:all,1249.0
evilcorpltd_aTox,build,85.901,21.83,4,//:all,1249.0
formatjs_formatjs,build,745.403,588.24,4,//:all,4554.0
formatjs_formatjs,build,732.82,590.36,4,//:all,4554.0
formatjs_formatjs,build,725.385,567.29,4,//:all,4554.0
formatjs_formatjs,build,734.8,556.27,4,//:all,4554.0
formatjs_formatjs,build,747.808,568.2,4,//:all,4554.0
formatjs_formatjs,build,744.415,606.95,4,//:all,4554.0
formatjs_formatjs,build,742.946,591.77,4,//:all,4554.0
formatjs_formatjs,build,675.246,540.47,4,//:all,4554.0
formatjs_formatjs,build,611.842,460.0,4,//:all,4554.0
google_allocation-instrumenter,build,117.631,60.81,4,//:all,121.0
google_allocation-instrumenter,build,55.28,28.27,4,//:all,121.0
google_allocation-instrumenter,build,53.369,30.35,4,//:all,121.0
google_allocation-instrumenter,build,60.667,29.77,4,//:all,121.0
google_allocation-instrumenter,build,64.329,37.57,4,//:all,121.0
google_allocation-instrumenter,build,56.842,28.86,4,//:all,121.0
google_allocation-instrumenter,build,53.891,29.02,4,//:all,121.0
google_allocation-instrumenter,build,57.646,29.76,4,//:all,121.0
google_allocation-instrumenter,build,57.986,30.26,4,//:all,121.0
google_allocation-instrumenter,build,59.901,29.81,4,//:all,121.0
google_cctz,build,63.836,44.07,4,//:all,500.0
google_cctz,build,94.28,56.0,4,//:all,500.0
google_cctz,build,54.112,26.22,4,//:all,500.0
google_cctz,build,44.061,26.58,4,//:all,500.0
google_cctz,build,43.79,25.68,4,//:all,500.0
google_cctz,build,46.562,29.09,4,//:all,500.0
google_cctz,build,43.072,26.85,4,//:all,500.0
google_cctz,build,44.54,26.03,4,//:all,500.0
google_cctz,build,43.169,25.39,4,//:all,500.0
google_cctz,build,41.998,25.45,4,//:all,500.0
google_chrome-ssh-agent,build,164.255,91.77,4,//:all,359.0
google_chrome-ssh-agent,build,246.101,171.44,4,//:all,359.0
google_chrome-ssh-agent,build,161.604,90.15,4,//:all,359.0
google_chrome-ssh-agent,build,174.656,90.44,4,//:all,359.0
google_chrome-ssh-agent,build,178.186,89.81,4,//:all,359.0
google_chrome-ssh-agent,build,246.604,153.88,4,//:all,359.0
google_chrome-ssh-agent,build,158.084,90.49,4,//:all,359.0
google_chrome-ssh-agent,build,169.038,88.41,4,//:all,359.0
google_chrome-ssh-agent,build,173.601,90.46,4,//:all,359.0
google_chrome-ssh-agent,build,258.0,146.76,4,//:all,359.0
google_closure-templates,build,247.503,201.03,4,...,5142.0
google_closure-templates,build,261.758,214.99,4,...,5142.0
google_closure-templates,build,337.117,260.87,4,...,5142.0
google_closure-templates,build,249.012,207.81,4,...,5142.0
google_closure-templates,build,353.277,313.76,4,...,5142.0
google_closure-templates,build,246.406,204.4,4,...,5142.0
google_closure-templates,build,243.952,203.25,4,...,5142.0
google_closure-templates,build,334.504,280.45,4,...,5142.0
google_closure-templates,build,261.486,217.24,4,...,5142.0
google_closure-templates,build,339.892,296.61,4,...,5142.0
google_flatbuffers,build,95.863,38.38,4,//:all,2879.0
google_flatbuffers,build,105.982,37.51,4,//:all,2879.0
google_flatbuffers,build,83.245,37.35,4,//:all,2879.0
google_flatbuffers,build,99.026,37.82,4,//:all,2879.0
google_flatbuffers,build,82.791,41.55,4,//:all,2879.0
google_flatbuffers,build,76.407,35.9,4,//:all,2879.0
google_flatbuffers,build,146.495,74.85,4,//:all,2879.0
google_flatbuffers,build,91.832,40.03,4,//:all,2879.0
google_flatbuffers,build,81.857,40.94,4,//:all,2879.0
google_flatbuffers,build,118.578,38.89,4,//:all,2879.0
google_go-jsonnet,build,117.085,21.96,4,//:all,456.0
google_go-jsonnet,build,124.559,22.77,4,//:all,456.0
google_go-jsonnet,build,199.118,36.15,4,//:all,456.0
google_go-jsonnet,build,126.64,21.74,4,//:all,456.0
google_go-jsonnet,build,143.095,21.11,4,//:all,456.0
google_go-jsonnet,build,124.122,20.41,4,//:all,456.0
google_go-jsonnet,build,127.686,18.81,4,//:all,456.0
google_go-jsonnet,build,192.843,37.89,4,//:all,456.0
